parent,find_no,child,qty,qty_basis,ref_des,notes
GEM-13000,10,GEM-13010,1,,,
GEM-13000,20,GEM-13020,1,,,
GEM-13000,30,GEM-20800,1,,,
GEM-13000,40,GEM-20700,1,,,
GEM-13000,50,GEM-13030,,count IMPL; at least 1,,
GEM-13000,60,GEM-13100,1,,,
GEM-13100,10,GEM-13110,1,,,
GEM-13110,10,GEM-13111,,10.36 kWh / per-cell energy of the part chosen,,
GEM-13100,20,GEM-13120,1,,,
GEM-13100,30,GEM-13130,1,,,
GEM-13100,40,GEM-13140,1,,,
GEM-13100,50,GEM-13150,1,,,
GEM-13100,60,GEM-13160,1,,,
GEM-13100,70,GEM-13170,1,,,
GEM-13000,70,GEM-13200,1,,,
GEM-13200,10,GEM-13210,1,,,
GEM-13200,20,GEM-13220,1,,,
GEM-13200,30,GEM-13230,1,,,
GEM-13200,40,GEM-13240,1,,,
GEM-13200,50,GEM-13250,1,,,
GEM-13000,80,GEM-13300,1,,,
GEM-13300,10,GEM-13310,1,,,
GEM-13300,20,GEM-13320,1,,,
GEM-13300,30,GEM-13330,1,,,
GEM-13300,40,GEM-13340,1,,,
GEM-13300,50,GEM-13350,,"per node or per bus segment, IMPL",,
GEM-13000,90,GEM-13400,1,"optional, not always-on",,
GEM-10000,40,GEM-14000,1,,,
GEM-14000,10,GEM-20900,1,,,
GEM-14000,20,GEM-21000,1,,,
GEM-14000,30,GEM-21100,1,,,
GEM-14000,40,GEM-14010,1,,,
GEM-14000,50,GEM-21200,1,,,
GEM-14000,60,GEM-14020,1,,,
GEM-14000,70,GEM-21300,1,,,
GEM-14000,80,GEM-21400,1,,,
GEM-14000,90,GEM-21500,1,,,
GEM-14000,100,GEM-14900,1,,,
GEM-14900,10,GEM-14910,1,,,
GEM-14900,20,GEM-14920,5,,,
GEM-10000,50,GEM-16000,1,,,
GEM-16000,10,GEM-20200,1,,,
GEM-16000,20,GEM-20100,1,,,
GEM-16000,30,GEM-20300,1,,,
GEM-16000,40,GEM-16010,1,,,
GEM-16000,50,GEM-20400,1,,,
GEM-16000,60,GEM-16020,1,,,
GEM-16000,70,GEM-20500,1,,,
GEM-16000,80,GEM-20600,1,,,
GEM-16000,90,GEM-16030,1,,,
GEM-16000,100,GEM-16040,1,,,
GEM-10000,60,GEM-15000,1,,,
GEM-15000,10,GEM-20900,1,,,
GEM-15000,20,GEM-21000,1,,,
GEM-15000,30,GEM-21100,1,,,
GEM-15000,40,GEM-15010,1,,,
GEM-15000,50,GEM-21200,1,,,
GEM-15000,60,GEM-15020,1,,,
GEM-15000,70,GEM-21300,1,,,
GEM-15000,80,GEM-21400,1,,,
GEM-15000,90,GEM-21500,1,,,
GEM-15000,100,GEM-15900,1,,,
GEM-15900,10,GEM-15910,1,,,
GEM-15900,20,GEM-15920,5,,,
GEM-10000,70,GEM-17000,1,,,
GEM-17000,10,GEM-20200,1,,,
GEM-17000,20,GEM-20100,1,,,
GEM-17000,30,GEM-20300,1,,,
GEM-17000,40,GEM-17010,1,,,
GEM-17000,50,GEM-20400,1,,,
GEM-17000,60,GEM-17020,1,,,
GEM-17000,70,GEM-20500,1,,,
GEM-17000,80,GEM-20600,1,,,
GEM-17000,90,GEM-17030,1,,,
GEM-17000,100,GEM-17040,1,,,
GEM-10000,80,GEM-18000,1,,,
GEM-18000,10,GEM-18010,1.17,65% of 1.8 m2,,
GEM-18000,20,GEM-18020,1.80,skin area,,
GEM-18000,30,GEM-18030,,coverage IMPL,,
GEM-18000,40,GEM-18040,,coverage IMPL,,
GEM-18000,50,GEM-18050,,coverage IMPL,,
GEM-18000,60,GEM-18060,150000,~500 cm2 at ~300/cm2,,
GEM-18000,70,GEM-18070,350000,"~17,500 cm2 at ~20/cm2",,
GEM-18000,80,GEM-18080,,count IMPL,,
GEM-18000,90,GEM-18090,,count IMPL,,
GEM-10000,90,GEM-19000,1,,,
GEM-19000,10,GEM-19010,1,,,
GEM-19000,20,GEM-19020,1,,,
GEM-19000,30,GEM-19030,1,,,
GEM-19000,40,GEM-19040,1,,,
